sku,brand,quantity,price,price_if_discounted,pos_in_pg,stock,description,report_time
Glow & Handsome Rapid Action Instant Brightness Facewash,Glow & Handsome,50 gm,140.0,,1,33,"Protect your skin from dust, dirt, and harmful sun exposure. Specially designed for the man of today, these Glow & Handsome max men's face wash is a must-have in your kit. Made from water, glycerin, and myristic acid, the face wash keeps your skin soft and smooth. The oil-free formula retains the natural moisture of the skin keeping it hydrated for hours together. Get a fairer skin tone with regular use of this face wash. Wash your face twice a day with Glow & Handsome Max Men Face Wash and notice a visible difference on your skin.",2023-02-22 11:13:58
Pureit Classic Microfibre Mesh,Pureit,each,200.0,,1,55,,2023-02-22 11:14:29
Pureit Classic Germ Kill Kit,Pureit,3000 ltr,1400.0,,3,62,"Pureit is a revolutionary innovation by Unilever to provide solution to the need of safe drinking water. It is world’s one of the most advanced in-home water purifier and first of its kind. Infact, it is world’s largest selling water purifier. Pureit uses advanced “4-Step GermKill Technology” to purify water. First, water passes through micro fiber mesh, which removes visible dirt and other material in the water. Second, it passes through the activated carbon trap, which stops all harmful parasites and other objects not visible to naked eye. At the third step, it passes through the germ kill processor that kills all the harmful virus and bacteria. Finally, the water passes through the polisher that removes any chlorine in the water and other unwanted taste or odor causing elements.",2023-02-22 11:14:44
Pureit Classic Germ Kill Kit,Pureit,1500 ltr,800.0,,4,63,"Pureit is a revolutionary innovation by Unilever to provide solution to the need of safe drinking water. It is world’s one of the most advanced in-home water purifier and first of its kind. Infact, it is world’s largest selling water purifier. Pureit uses advanced “4-Step GermKill Technology” to purify water. First, water passes through micro fiber mesh, which removes visible dirt and other material in the water. Second, it passes through the activated carbon trap, which stops all harmful parasites and other objects not visible to naked eye. At the third step, it passes through the germ kill processor that kills all the harmful virus and bacteria. Finally, the water passes through the polisher that removes any chlorine in the water and other unwanted taste or odor causing elements.",2023-02-22 11:15:00
Pureit Classic Blue Water Purifier,Pureit,23 ltr,4999.0,,5,63,,2023-02-22 11:15:18
Pureit Pedestal Stand,Pureit,each,230.0,,6,4,,2023-02-22 11:15:22
Vaseline Mosquito Defence Lotion,Vaseline,50 ml,99.0,,1,107,"Vaseline® Mosquito Defence 50 ml is designed to nourish your skin and provide relief from mosquitoes for up to 8 hours. Enriched with Vaseline Jelly, it's dermatologically tested to be suitable for both mother and children 2 months or above. * Safe for pregnant women and children aged above 2 month. * Gives protection from dengue, chikungunya, and malaria. * Contains Vaseline Jelly. * Protection from mosquito upto 8 hrs. * Does not contain alcohol, fragrance & preservative.",2023-02-22 11:16:35
Vaseline Mosquito Defence Lotion,Vaseline,100 ml,200.0,,2,38,"Vaseline® Mosquito Defence 100 ml is designed to nourish your skin and provide relief from mosquitoes for up to 8 hours. Enriched with Vaseline Jelly, it's dermatologically tested to be suitable for both mother and children 2 months or above. * Safe for pregnant women and children aged above 2 month. * Gives protection from dengue, chikungunya, and malaria. * Contains Vaseline Jelly. * Protection from mosquito upto 8 hrs. * Does not contain alcohol, fragrance & preservative.",2023-02-22 11:16:47
Vaseline Lotion Deep Restore,Vaseline,100 ml,160.0,,3,61,"Healing micro-droplets of Vaseline® Jelly combined with a fast-absorbing non-greasy moisturizing formula, the result is a lotion that moisturizes to heal very dry skin, leaving it looking and feeling healthier. We believe healthy skin starts with deep-restoring moisture. Our Intensive Care Deep Restore Lotion is infused with multi-layer moisture and nutrients which penetrate the skin deep down* absorbing quickly to leave your skin feeling healthy, soft, and smooth.",2023-02-22 11:17:04
Vaseline Lotion Aloe Fresh,Vaseline,200 ml,280.0,,4,9,"Origin: Bangladesh Manufacturer: Unilever Bangladesh Ltd. Aloe vera extract enriched body lotion. • Non sticky lotion • Feather-light formula with non greasy feel • Instantly absorbs 5 layers deep for healthy soft skin Ingredients: Water, Glycerin, Palmitic Acid (And) Stearic Acid, Glycol Stearate (And) Stearamide Amp, Isopropyl Palmitate, Petrolatum, Triethanolamine, Glyceryl Stearate, Aloe Barbadensis Leaf Juice, Menthol, Cetyl Alcohol, Dimethicone, Titanium Dioxide, Carbomer, Tapioca Starch, Phenoxyethanol, Methyl Paraben, Propyl Paraben, Perfume, Disodium Edta, Benzyl Salicylate, Butylphenyl Methylpropional, Hexyl Cinnamal, Linalool.",2023-02-22 11:17:10
Vaseline Blueseal Original Jelly,Vaseline,100 ml,389.0,,5,1,,2023-02-22 11:17:13
Vaseline Lotion Deep Restore,Vaseline,400 ml,850.0,,7,99,"Origin: Singapore Manufacturer: Unilever Ltd. Vaseline intensive care deep restore body lotion is designed to penetrate the outermost layer of the skin to help heal dry skin for long periods of time. Vaseline intensive care deep restore body lotion is formulated glycerine, to restore moisture to the skin, and micro-droplets of Vaseline jelly, which is effective in locking moisturise in skin. Its deeply moisturizing formula provides effective, long-lasting moisturization. Clinically proven to restore dry skin. Water, Mineral Oil, Glycerin, Cetostearyl Alcohol, Petrolatum, Avena Sativa (Oat) Straw Extract, Sodium Cetostearyl Sulphate, Glyceryl Stearate, Paraffin, Dimethicone, Microcrystalline Wax, Sodium Carboxy Methyl Cellulose, Methyl Paraben, Phenoxyethanol, Propyl Paraben, Simethicone, Disodium Edta, Soyabean Oil, Bht, Perfume, Alpha-isomethyl Ionone, Amyl Cinnamal, Butylphenyl Methylpropional, Citronellol, Geraniol, Hexyl Cinnamal, Limonene, Linalool.",2023-02-22 11:17:46
Vaseline Lotion Healthy Bright,Vaseline,200 ml,280.0,,8,30,Origin: Bangladesh Manufacturer: Unilever ltd. Vaseline lotion is specially formulated with Triple sunscreens and vitamin B3 that work together to help protect from the sun and make your skin look brighter in 2 weeks. It contains micro-droplets of vaseline jelly which that helps heal damage from deep within. Triple sunscreens protect your skin from UVA and UVB. Vitamin B3 inhibits melanin transfer-making skin look brighter.,2023-02-22 11:17:59
Vaseline Lotion Healthy Bright,Vaseline,300 ml,380.0,,9,68,Origin: Bangladesh Manufacturer: Unilever ltd. Vaseline lotion is specially formulated with Triple sunscreens and vitamin B3 that work together to help protect from the sun and make your skin look brighter in 2 weeks. It contains micro-droplets of vaseline jelly which that helps heal damage from deep within. Triple sunscreens protect your skin from UVA and UVB. Vitamin B3 inhibits melanin transfer-making skin look brighter.,2023-02-22 11:18:22
Vaseline Intensive Care Advance Strength Lotion,Vaseline,400 ml,825.0,,11,1,"• Vaseline Intensive Care Advanced Strength Body Lotion moisturises very dry skin • Clinically proven to keep cracked skin restored for up to 3 weeks (Based on 2013 clinical study) • Contains micro-droplets of Vaseline® Jelly to lock in moisture and restore damaged skin from deep within stratum corneum • Fast absorbing lotion for a non-greasy feel • Best For: Dry Skin, Sensitive Skin, Dry Irritated Skin How to Use: Step 1: Apply Vaseline Intensive Care Advanced Strength to your hand and spread across your body until absorbed. Step 2: Reapply in the morning, at night, or as needed throughout the day. Step 3: Apply thoroughly to avoid product rubbing off on clothes Apply twice daily to get best results. Enjoy a healthy glow and moisturized skin.",2023-02-22 11:18:25
Vaseline Blueseal Original Petroleum Jelly,Vaseline,250 ml,835.0,,12,1,,2023-02-22 11:18:29
Vaseline Intensive Care Cocoa Radiant Gel Oil,Vaseline,200 ml,1450.0,,13,1,"Origin: UK Manufacturer: Unilever Limited With 100% pure cocoa and shea butters, heals dry skin for a natural glow. • With pure cocoa butter and replenishing oils for healthy-looking, glowing skin • Locks in moisture to help revitalize dry and dull-looking skin • Heals dry skin for glowing radiance with non-greasy, rich moisturization • Contains pure cocoa butter to moisturize dry skin and promote a natural glow • Contains microdroplets of Vaseline® Jelly to lock in moisture • Daily body lotion best for: dry skin, dull skin",2023-02-22 11:18:32
Vaseline Intensive Care Cocoa Glow Body Lotion,Vaseline,400 ml,1049.0,1024.0,14,3,Origin: South Africa Manufacturer: Unilever Limited Body lotion with cocoa butter and droplets of Vaseline jelly. It heals dry skin and revives natural glow.,2023-02-22 11:18:36
Vaseline Intensive Care Aloe Smoothe Body Lotion,Vaseline,400 ml,1049.0,1030.0,15,6,"Origin: UK Manufacturer: Unilever Ltd. • Vaseline® Intensive Care Aloe Soothe Body Lotion moisturises dry skin • Formulated with 100% Pure Aloe Vera Extract, known to calm and soothe dry irritated skin. • With micro-droplets of Vaseline® Jelly to lock in moisture and restore damaged skin from deep within* leaving your skin deeply moisturised • Fast absorbing lotion for a non-greasy feel • Best For: Dry skin, Stressed skin, Sunburn dryness Water, Glycerin, Stearic Acid, Glycol Stearate, Isopropyl Palmitate, Petrolatum, Aloe Barbadensis Leaf Juice, Glyceryl Stearate, Lactic Acid, Cetyl Alcohol, Dimethicone, Tapioca Starch, Triethanolamine, Carbomer, Perfume, Titanium Dioxide, Disodium Edta, Stearamide AMP, Potassium Sorbate, Phenoxyethanol, Methylparaben, Propylparaben",2023-02-22 11:18:41
Vaseline Petroleum Jelly,Vaseline,50 ml,55.0,,16,0,"Vaseline® PURE PETROLEUM JELLY is the original wonder jelly. It works by creating a sealing barrier between cells, which locks in moisture and speeds up your skin’s natural recovery from dryness, helping it heal from within. Its occlusive function also allows it to protect dry, cracked skin and minor cuts, scrapes, and burns. Our jelly is triple-purified to be 100% pure",2023-02-22 11:18:42
